title,price,pricePerSqft,areaSqft,location,city,bedrooms,bathrooms,furnishing,facing,reraStatus,latitude,longitude,propertyUrl
Varun Flats,Rs. 65 Lac,6103,1065,"Alappakam, Perungalathur",Chennai South,3,3,Semifurnished,4,NO,12.89358285,80.11577104,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-alappakam-chennai-south-1065-sq-ft-spid-L81357453
Sri Raghavendra Guru Heritage,Rs. 45 Lac,5000,885,"Perungalathur, Chennai",Chennai South,2,2,Semifurnished,1,NO,12.91671,80.076526,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sri-raghavendra-guru-heritage-perungalathur-chennai-south-900-sq-ft-r1-spid-W75622639
N/A,Rs. 1.1 Crore,4583,N/A,"Vandalur, GST Road",Chennai South,1,1,Unfurnished,N/A,NO,80.220425,12.979635,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-vandalur-chennai-south-2400-sq-ft-r1-spid-U77771675
Sudarshan Acres,Rs. 59.93 Lac,4990,N/A,"Old Perungalathur, Chennai",Chennai South,3,2,Unfurnished,2,NO,12.917606,80.086651,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-old-perungalathur-chennai-south-1201-sq-ft-r3-spid-X68362528
Hillview Residency vandalur,Rs. 49 Lac,5077,965,"Vandalur, GST Road",Chennai South,2,2,Unfurnished,6,NO,12.89,80.08,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-vandalur-chennai-south-965-sq-ft-spid-S81265923
N/A,"Rs. 17,000",20,850,"Urapakkam West, Chennai",Chennai South,2,2,Semifurnished,1,NO,12.862131,80.055627,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-rent-in-urapakkam-west-chennai-south-850-sq-ft-spid-Z81195261
N/A,Rs. 4 Crore,4000000,N/A,"Revathipuram, Urapakkam",Chennai South,3,3,Furnished,N/A,NO,12.86377,80.082772,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-revathipuram-chennai-south-4356-sq-ft-spid-L81192135
N/A,Rs. 1.23 Crore,6648,N/A,"SSM Nagar, Perungalathur",Chennai South,3,3,Unfurnished,1,NO,12.89539057,80.11701356,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-ssm-nagar-chennai-south-1850-sq-ft-spid-A81187697
N/A,"Rs. 20,000",28,N/A,"Urapakkam, Chennai",Chennai South,2,2,Furnished,N/A,NO,12.861511,80.076084,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-rent-in-urapakkam-chennai-south-700-sq-ft-spid-I81182873
"Maanas Enclave, Urapakkam Chennai ",Rs. 42 Lac,4816,872,"Urapakkam, Chennai",Chennai South,2,2,Unfurnished,3,NO,79.703722,12.835234,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-urapakkam-chennai-south-872-sq-ft-spid-Y81125175
